,HR,R,RBI,SB,W,SOLD,SO
"Paul Skenes (PIT)",0,0,0,0,3,0,59
"Brent Rooker (OAK)",22,58,67,3,0,0,0
"Will Benson (CIN)",14,55,46,16,0,0,0
"Max Scherzer (TEX)",0,0,0,0,5,0,91
"Jeff McNeil (NYM)",7,59,52,4,0,0,0
"Louie Varland (MIN)",0,0,0,0,7,0,116
"Alex Verdugo (NYY)",13,64,61,5,0,0,0
"James Paxton (LAD)",0,0,0,0,6,0,81
"Ty France (SEA)",14,64,64,0,0,0,0
"Jon Gray (TEX)",0,0,0,0,9,0,147
"Jordan Westburg (BAL)",12,53,50,6,0,0,0
"Jason Adam (TBR)",0,0,0,0,3,25,68
"Austin Hays (BAL)",16,63,64,5,0,0,0
"Sean Manaea (NYM)",0,0,0,0,8,0,140
"Matt Wallner (MIN)",19,55,57,3,0,0,0
"Dean Kremer (BAL)",0,0,0,0,9,0,135
"Tim Anderson (MIA)",5,61,49,17,0,0,0
"Tyler Wells (BAL)",0,0,0,0,6,2,95
"Kyle Bradish (BAL)",0,0,0,0,6,0,85
"Jordan Hicks (SFG)",0,0,0,0,6,2,111
"DL Hall (MIL)",0,0,0,0,6,5,125
"Jameson Taillon (CHC)",0,0,0,0,8,0,123
"David Robertson (TEX)",0,0,0,0,3,20,68
"Jake Rogers (DET)",13,40,43,2,0,0,0
"Frankie Montas (CIN)",0,0,0,0,8,0,124
"Orlando Arcia (ATL)",13,58,57,2,0,0,0
"Luke Raley (SEA)",16,49,46,9,0,0,0
"Brice Turang (MIL)",9,55,43,21,0,0,0
"Yennier Cano (BAL)",0,0,0,0,3,24,62
"Brendan Rodgers (COL)",16,64,67,0,0,0,0
"Trevor Rogers (MIA)",0,0,0,0,6,0,105
"Connor Wong (BOS)",13,43,42,6,0,0,0
"Jake Fraley (CIN)",12,54,46,17,0,0,0
"Ezequiel Duran (TEX)",10,38,35,7,0,0,0
"Matt Brash (SEA)",0,0,0,0,4,18,70
"DJ LeMahieu (NYY)",10,58,49,2,0,0,0
"Amed Rosario (TBR)",7,47,40,12,0,0,0
"Logan Allen (CLE)",0,0,0,0,8,0,130
"Alex Kirilloff (MIN)",10,45,44,2,0,0,0
"Chase Silseth (LAA)",0,0,0,0,7,1,114
"Ranger Suarez (PHI)",0,0,0,0,9,0,130
"Jordan Lawlar ()",7,38,32,13,0,0,0
"Tommy Pham ()",13,60,49,14,0,0,0
"Clarke Schmidt (NYY)",0,0,0,0,8,0,128
"James McArthur (KCR)",0,0,0,0,3,21,59
"Jake Cronenworth (SDP)",16,69,67,6,0,0,0
"Erick Fedde (CHW)",0,0,0,0,7,0,113
"John Means (BAL)",0,0,0,0,6,0,85
"A.J. Puk (MIA)",0,0,0,0,6,6,105
"Alek Thomas (ARI)",8,58,50,11,0,0,0
"Michael Busch (CHC)",10,41,43,2,0,0,0
"Zack Littell (TBR)",0,0,0,0,7,0,108
"Rene Pinto (TBR)",12,35,44,1,0,0,0
"Jack Flaherty (DET)",0,0,0,0,7,0,134
"Patrick Bailey (SFG)",9,42,42,2,0,0,0
"Harrison Bader (NYM)",12,53,41,22,0,0,0
"Yan Gomes (CHC)",9,38,44,1,0,0,0
"Masyn Winn (STL)",10,56,47,15,0,0,0
"Ceddanne Rafaela (BOS)",9,47,39,14,0,0,0
"Alek Manoah (TOR)",0,0,0,0,7,0,99
"Joey Meneses (WSN)",15,56,64,0,0,0,0
