Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Alex Bregman,HOU,Alex Bregman (HOU),22,91,88,2,0.369,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Andrés Giménez,CLE,Andres Gimenez (CLE),15,71,71,25,0.339,0,0,0,0,0,0,104.31,82,133,0,0,1,0,0,1,0,1,0
Austin Riley,ATL,Austin Riley (ATL),34,96,103,2,0.351,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Marcus Semien,TEX,Marcus Semien (TEX),26,106,93,11,0.337,0,0,0,0,0,0,30.12,16,41,0,0,1,0,0,1,0,1,0
Will Smith,LAD,Will Smith (LAD),21,74,78,2,0.355,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),20,98,87,39,0.354,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Freddie Freeman,LAD,Freddie Freeman (LAD),25,109,94,14,0.384,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),22,64,72,0,0.349,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),26,97,97,35,0.323,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Bo Bichette,TOR,Bo Bichette (TOR),24,90,93,11,0.333,0,0,0,0,0,0,39.42,26,56,0,0,0,0,1,1,0,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),28,87,102,23,0.353,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
Dansby Swanson,CHC,Dansby Swanson (CHC),22,85,77,9,0.327,0,0,0,0,0,0,127.94,90,186,0,0,0,0,1,1,0,1,0
Willy Adames,MIL,Willy Adames (MIL),28,82,89,5,0.328,0,0,0,0,0,0,186.36,130,232,0,0,0,0,1,1,0,1,0
Manny Machado,SDP,Manny Machado (SDP),26,80,92,6,0.335,0,0,0,0,0,0,54.91,37,71,0,0,0,1,0,1,0,1,0
Xander Bogaerts,SDP,Xander Bogaerts (SDP),17,80,69,12,0.346,0,0,0,0,0,0,101.31,70,130,0,0,1,0,1,1,0,1,0
Carlos Correa,MIN,Carlos Correa (MIN),21,71,73,0,0.338,0,0,0,0,0,0,245.39,121,323,0,0,0,0,1,1,0,1,0
Nico Hoerner,CHC,Nico Hoerner (CHC),11,77,66,29,0.335,0,0,0,0,0,0,65.19,37,92,0,0,1,0,1,1,0,1,0
Brandon Nimmo,NYM,Brandon Nimmo (NYM),17,81,65,3,0.361,0,0,0,0,0,0,193.47,155,250,0,0,0,0,0,0,1,1,0
Rafael Devers,BOS,Rafael Devers (BOS),33,95,107,4,0.351,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Luis Robert Jr.,CHW,Luis Robert Jr. (CHW),28,77,89,17,0.319,0,0,0,0,0,0,32.72,20,57,0,0,0,0,0,0,1,1,0
Cal Raleigh,SEA,Cal Raleigh (SEA),25,62,76,1,0.299,0,0,0,0,0,0,143.03,108,185,1,0,0,0,0,0,0,1,0
Michael Harris II,ATL,Michael Harris II (ATL),20,81,79,21,0.322,0,0,0,0,0,0,26.03,15,35,0,0,0,0,0,0,1,1,0
Matt Chapman,SFG,Matt Chapman (SFG),22,73,65,3,0.333,0,0,0,0,0,0,280.53,192,359,0,0,0,1,0,1,0,1,0
Bryce Harper,PHI,Bryce Harper (PHI),26,83,79,11,0.388,0,0,0,0,0,0,17.23,10,24,0,1,0,0,0,1,0,1,0
Matt Olson,ATL,Matt Olson (ATL),37,95,116,1,0.36,0,0,0,0,0,0,14.67,9,21,0,1,0,0,0,1,0,1,0
Gleyber Torres,NYY,Gleyber Torres (NYY),24,79,79,11,0.342,0,0,0,0,0,0,73.79,50,105,0,0,1,0,0,1,0,1,0
Isaac Paredes,TBR,Isaac Paredes (TBR),26,67,87,1,0.336,0,0,0,0,0,0,191.6,96,266,0,1,0,1,0,1,0,1,0
William Contreras,MIL,William Contreras (MIL),19,70,69,3,0.344,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
James Outman,LAD,James Outman (LAD),23,85,81,12,0.337,0,0,0,0,0,0,179.46,124,238,0,0,0,0,0,0,1,1,0
Nolan Arenado,STL,Nolan Arenado (STL),21,62,87,3,0.328,0,0,0,0,0,0,105.81,52,140,0,0,0,1,0,1,0,1,0
Ketel Marte,ARI,Ketel Marte (ARI),19,77,72,6,0.353,0,0,0,0,0,0,113.74,84,150,0,0,1,0,0,1,0,1,0
Jose Altuve,HOU,Jose Altuve (HOU),20,86,67,10,0.352,0,0,0,0,0,0,40.66,26,66,0,0,1,0,0,1,0,1,0
Alejandro Kirk,TOR,Alejandro Kirk (TOR),12,43,50,0,0.345,0,0,0,0,0,0,255.55,180,351,1,0,0,0,0,0,0,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),38,91,122,17,0.359,11,0,0,157,1.11,3.3,11.48,4,24,0,0,0,0,0,0,0,1,1
Matt McLain,CIN,Matt McLain (CIN),20,73,81,18,0.339,0,0,0,0,0,0,185.99,37,358,0,0,1,0,1,1,0,1,0
Ha-Seong Kim,SDP,Ha-Seong Kim (SDP),13,62,57,23,0.327,0,0,0,0,0,0,87.64,56,127,0,0,1,1,1,1,0,1,0
Randy Arozarena,TBR,Randy Arozarena (TBR),22,88,83,21,0.355,0,0,0,0,0,0,43.72,26,59,0,0,0,0,0,0,1,1,0
Ozzie Albies,ATL,Ozzie Albies (ATL),26,93,97,12,0.327,0,0,0,0,0,0,23.41,15,34,0,0,1,0,0,1,0,1,0
Jonah Heim,TEX,Jonah Heim (TEX),16,50,61,2,0.307,0,0,0,0,0,0,177.97,140,226,1,0,0,0,0,0,0,1,0
J.P. Crawford,SEA,J.P. Crawford (SEA),12,80,62,3,0.348,0,0,0,0,0,0,318.47,190,360,0,0,0,0,1,1,0,1,0
J.T. Realmuto,PHI,J.T. Realmuto (PHI),19,67,70,13,0.32,0,0,0,0,0,0,76.63,56,102,1,0,0,0,0,0,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),31,89,100,5,0.357,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Royce Lewis,MIN,Royce Lewis (MIN),18,64,69,11,0.33,0,0,0,0,0,0,48.18,31,70,0,0,0,1,0,1,0,1,0
Cedric Mullins,BAL,Cedric Mullins (BAL),17,70,68,23,0.322,0,0,0,0,0,0,148.14,115,190,0,0,0,0,0,0,1,1,0
Davis Schneider,TOR,Davis Schneider (TOR),19,62,68,6,0.333,0,0,0,0,0,0,357.95,274,357,0,0,1,0,0,1,0,1,0
Tommy Edman,STL,Tommy Edman (STL),13,82,60,25,0.316,0,0,0,0,0,0,269.8,137,356,0,0,1,0,1,1,1,1,0
Nolan Jones,COL,Nolan Jones (COL),22,77,84,14,0.368,0,0,0,0,0,0,55.99,28,84,0,0,0,0,0,0,1,1,0
Wyatt Langford,TEX,Wyatt Langford (TEX),24,81,98,18,0.324,0,0,0,0,0,0,77.93,41,157,0,0,0,0,0,0,1,1,0
Adolis García,TEX,Adolis Garcia (TEX),31,88,98,12,0.31,0,0,0,0,0,0,43.34,21,77,0,0,0,0,0,0,1,1,0
Edouard Julien,MIN,Edouard Julien (MIN),15,71,64,8,0.36,0,0,0,0,0,0,208.45,141,276,0,0,1,0,0,1,0,1,0
