Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Emmet Sheehan,LAD,Emmet Sheehan (LAD),0,0,0,0,0,4,0,0,75,1.25,4.31,338.17,224,360,0,0,0,0,0,0,0,0,1
Jacob deGrom,TEX,Jacob deGrom (TEX),0,0,0,0,0,2,0,0,34,0.94,3,356.6,100,360,0,0,0,0,0,0,0,0,1
Aroldis Chapman,PIT,Aroldis Chapman (PIT),0,0,0,0,0,4,7,14,86,1.31,3.33,335.82,256,358,0,0,0,0,0,0,0,0,1
Alek Manoah,TOR,Alek Manoah (TOR),0,0,0,0,0,5,0,0,80,1.34,4.52,357.87,272,357,0,0,0,0,0,0,0,0,1
Bryan Abreu,HOU,Bryan Abreu (HOU),0,0,0,0,0,3,3,17,85,1.2,3.04,357.59,300,358,0,0,0,0,0,0,0,0,1
Sixto Sánchez,MIA,Sixto Sanchez (MIA),0,0,0,0,0,3,0,4,51,1.2,3.71,360.96,354,354,0,0,0,0,0,0,0,0,1
Andrew Nardi,MIA,Andrew Nardi (MIA),0,0,0,0,0,5,6,15,80,1.26,3.67,358.26,235,359,0,0,0,0,0,0,0,0,1
Michael Lorenzen,TEX,Michael Lorenzen (TEX),0,0,0,0,0,6,0,1,79,1.33,4.53,360.3,324,357,0,0,0,0,0,0,0,0,1
Jason Adam,TBR,Jason Adam (TBR),0,0,0,0,0,3,10,14,68,1.1,3.3,328.23,216,360,0,0,0,0,0,0,0,0,1
Yuki Matsui,SDP,Yuki Matsui (SDP),0,0,0,0,0,3,8,15,78,1.22,3.42,307.81,153,359,0,0,0,0,0,0,0,0,1
Matt Strahm,PHI,Matt Strahm (PHI),0,0,0,0,0,5,1,10,79,1.12,3.63,358.9,246,360,0,0,0,0,0,0,0,0,1
J.P. France,HOU,J.P. France (HOU),0,0,0,0,0,8,0,0,103,1.37,4.42,355.38,268,359,0,0,0,0,0,0,0,0,1
Ian Hamilton,NYY,Ian Hamilton (NYY),0,0,0,0,0,4,2,11,70,1.26,3.56,360.98,357,357,0,0,0,0,0,0,0,0,1
Matt Brash,SEA,Matt Brash (SEA),0,0,0,0,0,4,7,12,70,1.25,3.29,358.31,287,360,0,0,0,0,0,0,0,0,1
Joe Boyle,OAK,Joe Boyle (OAK),0,0,0,0,0,5,0,1,105,1.49,4.44,350.47,291,359,0,0,0,0,0,0,0,0,1
Raisel Iglesias,ATL,Raisel Iglesias (ATL),0,0,0,0,0,4,32,2,73,1.14,3.35,67.15,49,84,0,0,0,0,0,0,0,0,1
José Urquidy,HOU,Jose Urquidy (HOU),0,0,0,0,0,5,0,0,62,1.27,4.69,360.16,319,352,0,0,0,0,0,0,0,0,1
Josh Hader,HOU,Josh Hader (HOU),0,0,0,0,0,3,35,2,87,1.16,3.1,48.04,18,68,0,0,0,0,0,0,0,0,1
